社員番号,フォロワー数,いいね数
2240602,20,11
2240503,14,14
2240404,26,45
2240107,27,87
2240008,48,396
2239705,30,248
2239606,13,7
2239507,21,91
2239309,33,19
2239200,18,0
2239101,22,153
2238906,44,137
2238708,30,133
2238500,160,795
2238203,15,36
2238104,25,3
2238005,17,5
2237602,22,8
2237503,26,102
2237008,84,445
2236803,24,23
2236704,24,55
2236605,22,96
2236506,24,46
2236407,45,104
2236308,45,83
2236209,37,15
2236100,28,58
2235905,48,65
2235806,51,79
2235707,26,12
2235400,20,7
2235301,30,69
2235202,45,103
2235103,25,17
2235004,43,216
2234809,71,599
2234700,51,260
2234601,40,277
2234502,46,344
2234403,23,17
2234304,68,288
2234106,30,55
2234007,34,89
2233901,19,34
2233802,57,238
2233604,27,161
2233406,33,130
2233307,20,90
2233208,30,112
2233000,24,94
2232904,191,659
2232706,89,561
2232607,18,0
2232508,20,29
2232409,18,19
2232300,35,247
2232201,32,21
2232003,114,645
2231709,66,130
2231600,27,140
2231501,23,72
2231402,42,432
2231204,73,293
2231006,21,0
2230900,51,123
2230306,71,76
2230207,17,36
2230108,88,2138
2230009,47,188
2229904,117,302
2229805,17,4
2229508,50,137
2229409,63,118
2229300,38,73
2229201,32,78
2229003,30,123
2228808,23,36
2228709,107,2775
2228600,40,186
2228501,71,163
2228402,28,117
2228303,136,236
2227900,146,421
2227801,23,0
2227702,45,330
2227603,93,562
2227405,66,417
2227306,36,96
2227207,68,200
2227009,27,31
2226903,22,10
2226804,54,72
2226606,48,140
2226507,31,149
2226408,24,14
2226002,25,17
2225906,36,46
2225807,46,142
2225708,25,11
2225401,30,121
2225302,33,144
2225203,48,977
2225104,80,314
2225005,43,121
2224909,29,64
2224800,19,3
2224701,8,0
2224404,71,253
2224305,53,104
2224206,36,105
2224107,78,396
2224008,48,338
2223803,51,63
2223704,26,16
2223605,10,4
2223506,21,44
2223407,38,0
2223308,21,69
2223209,26,6
2223100,19,7
2223001,15,0
2222905,17,28
2222806,24,6
2222707,37,467
2222608,44,17
2222509,27,11
2222400,81,284
2222301,44,0
2222103,52,73
2222004,12,74
2221908,30,41
2221809,9,3
2221700,51,126
2221601,42,7
2221502,22,18
2221403,19,29
2221304,31,152
2221106,22,31
2221007,79,648
2220901,49,104
2220802,29,15
2220703,39,61
2220604,38,30
2220505,229,2918
2220406,57,109
2220307,73,219
2220208,146,789
2220109,26,115
2220000,14,3
2219905,65,57
2219806,45,41
2219707,28,37
2219608,44,193
2219509,38,36
2219400,17,9
2219301,35,83
2219202,43,62
2218908,28,43
2218809,46,165
2218601,34,20
2218502,30,70
2218403,51,64
2218205,27,7
2218106,62,100
2218007,31,35
2217901,37,30
2217802,47,0
2217703,132,893
2217604,23,25
2217505,84,211
2217307,60,42
2217208,25,30
2217109,47,95
2217000,17,2
2216904,39,42
2216805,38,59
2216706,26,25
2216508,22,10
2216409,30,86
2216300,27,8
2216201,24,18
2216003,14,6
2215907,32,22
2215808,157,821
2215709,120,507
2215600,29,2
2215501,30,107
2215402,54,75
2215303,71,101
2215204,30,43
2215105,23,17
